文件,行号,类型,代码
"引擎-抓取.js","218","丢掉","if (!v) continue;"
"引擎-抓取.js","221","默认值","计[t.是] = (计[t.是] || 0) + 1;"
"引擎-抓取.js","229","默认值","if ((计[""光数字""] || 0) * 5 >= 有 * 4 && 连号 * 2 >= 有 && 有 >= 3)"
"引擎-抓取.js","235","默认值","if ((计[""光数字""] || 0) * 5 >= 有 * 4 && 有 >= 2) {"
"引擎-抓取.js","239","丢掉","if (!v2 || !纯数.test(v2)) continue;"
"引擎-抓取.js","248","默认值","var 编号类 = (计[""编号""] || 0) + (计[""光数字""] || 0);"
"引擎-抓取.js","249","默认值","if (编号类 * 5 >= 有 * 4 && (计[""编号""] || 0) > 0 && (计[""光数字""] || 0) > 0)"
"引擎-抓取.js","367","丢掉","if (!rows[r]) continue;"
"引擎-抓取.js","370","丢掉","if (!/^[0-9]*\.?[0-9]+$/.test(v) || isNaN(n)) continue;"
"引擎-抓取.js","373","丢掉","if (!名 && 几行 >= 2 && 和 > 0 && Math.abs(n - 和) < 0.01) { 出[r] = true; continue; }"
"引擎-抓取.js","391","丢掉","if (t === undefined || t === null || t === """") return;"
"引擎-抓取.js","415","丢掉","if (c === ""行"") return;"
"引擎-抓取.js","416","丢掉","if (存疑列[c]) return;"
"引擎-抓取.js","422","丢掉","!(挑.品名 && String(挑.品名.列) === String(c))) return;"
"引擎-抓取.js","434","丢掉","if (!hv || 列名词.test(hv)) continue;"
"引擎-抓取.js","467","丢掉","if (!rows[r]) continue;"
"引擎-抓取.js","470","丢掉","if (是合计行(rows[r], r, 挑.合计行)) continue;"
"引擎-抓取.js","475","丢掉","if (!v) continue;"
"引擎-抓取.js","484","丢掉","continue;"
"引擎-抓取.js","486","丢掉","if (认领了[c]) continue;                    /* 有归宿，过 */"
"引擎-抓取.js","491","丢掉","if (t.是 === ""空"" || t.是 === ""别的"") continue;"
"引擎-抓取.js","492","丢掉","if (列类.是 === ""序号"" || 列类.像编码) continue;   /* 序号 / 商品编码，明确不是货 */"
"引擎-抓取.js","518","丢掉","if (!L.品名) return;"
"引擎-抓取.js","553","丢掉","return;"
"引擎-抓取.js","620","丢掉","if (有列名词 >= 2) continue;              /* 这是表头行，不是货 */"
"引擎-抓取.js","658","丢掉","if (!v) continue;"
"引擎-抓取.js","680","丢掉","if (!角) return;"
"引擎-抓取.js","688","丢掉","return;"
"引擎-抓取.js","692","丢掉","if (x.类.是 === ""数量"") { x.表头说 = 角; x.表头存疑 = true; return; }"
"引擎-抓取.js","694","丢掉","return;"
"引擎-抓取.js","712","丢掉","if (跳(x)) return;"
"引擎-抓取.js","741","丢掉","if (跳(x)) return;"
"引擎-抓取.js","748","丢掉","if (跳(x) || 出.品名) return;"
"引擎-抓取.js","750","默认值","var 汉 = (计[""汉字""] || 0) + (计[""规格""] || 0);"
"引擎-抓取.js","756","丢掉","if (跳(x)) return;"
"引擎-抓取.js","774","丢掉","if (跳(x)) return;"
"引擎-抓取.js","775","丢掉","if (x.类.是 !== ""光数字"") return;"
"引擎-抓取.js","776","丢掉","if (x.类.像编码) return;                  /* 商品编码不是数量，见 认一列 */"
"引擎-抓取.js","777","丢掉","if (x.类.是 === ""序号"") return;"
"引擎-抓取.js","787","丢掉","if (跳(x) || 出.点位) return;"
"引擎-抓取.js","800","丢掉","if (!rows[r]) continue;"
"引擎-抓取.js","812","丢掉","if (是合计行(rows[r], r, 挑.合计行)) continue;"
"引擎-抓取.js","817","丢掉","if (!有料 || !上一key || !组[上一key]) continue;"
"引擎-抓取.js","819","丢掉","continue;"
"引擎-抓取.js","883","丢掉","return;"
"引擎-抓取.js","911","丢掉","if (q === null && !点) return;"
"引擎-抓取.js","943","丢掉","if (!v) return;"
"引擎-抓取.js","953","丢掉","if (!名 || 是合计行(rows[r2], r2, 挑 && 挑.合计行)) continue;"
"引擎-抓取.js","957","丢掉","if (!v) return;"
"引擎-抓取.js","960","丢掉","if (q === null || !q) return;"
"引擎-匹配.js","102","丢掉","if(!(斤>0)) continue;"
"引擎-匹配.js","150","丢掉","if(表a===表z) continue;                       /* 两边都写或都没写 → 没信息 */"
"引擎-匹配.js","152","丢掉","if(nm.indexOf(要)>=0) continue;                /* 配到的正好写着同一边 → 没冲突 */"
"引擎-匹配.js","153","丢掉","if(nm.indexOf(反)<0) continue;                 /* 配到的两边都没写 → 只是没写，不是写反 */"
"引擎-匹配.js","204","丢掉","if(数.length!==1) continue;                       /* 14-15斤 这种范围，不算 */"
"引擎-匹配.js","206","丢掉","if(!mu) continue;"
"引擎-匹配.js","208","丢掉","if(!(n2>0)||!s2||s2===u) continue;"
"引擎-匹配.js","216","换算","function 换算比(DATA,i,客户单位){"
"引擎-匹配.js","250","丢掉","if(t.indexOf(norm(keys[k]))<0) continue;"
"引擎-匹配.js","257","丢掉","if(!另) continue;"
"引擎-匹配.js","266","丢掉","if(好>=0) return;"
"引擎-匹配.js","305","丢掉","if(x===i||unitNorm(DATA.items[x][3]||"""")!==u0) return;"
"引擎-匹配.js","307","丢掉","if(!g2) return;"
"引擎-匹配.js","451","默认值","var hit=g.filter(function(i){ return Math.abs((+DATA.items[i][4]||0)-priceHint)<0.005; });"
"引擎-匹配.js","586","丢掉","var ki=pool2.indexOf(st); if(ki>=0) pool2.splice(ki,1);"
"引擎-匹配.js","779","丢掉","if(!中.length) continue;"
"引擎-匹配.js","802","丢掉","if(a2.length<净.length) return;              /* 比客户写的还短，不可能包得下 */"
"引擎-匹配.js","803","丢掉","if(a2.slice(0,2)!==头) return;               /* 开头两个字得一样 */"
"引擎-读文件.js","183","丢掉","if (r.length < 2) { cur = null; return; }"
"引擎-读文件.js","240","丢掉","const o = i * 128, nl = dd.getUint16(o + 64, true); if (!nl) continue;"
"引擎-读文件.js","242","丢掉","const type = dir[o + 66]; if (!type) continue;"
"引擎-读文件.js","310","丢掉","if (!cur) return;"
"引擎-读文件.js","317","丢掉","if (t === 0x0809) { if (!cur) cur = { rows: [] }; continue; }"
"引擎-读文件.js","318","丢掉","if (t === 0x000A) { if (cur && cur.rows.length) { 表.push(cur); cur = null; } continue; }"
"引擎-读文件.js","319","丢掉","if (!cur) continue;"
"引擎-断句规矩.js","65","丢掉","if(深===0&&/\s/.test(c)){ if(当.trim()){ 出.push(当.trim()); } 当=""""; continue; }"
"引擎-断句规矩.js","96","合并","function 默认接上(块们){"
"引擎-断句规矩.js","102","丢掉","if(b.是===""点位""&&上是点&&多>0){ 多--; 出.push({文:b.文,是:""接上""}); return; }"
"引擎-断句规矩.js","113","丢掉","if(b.是===""接上""&&上&&上.是===""点位""){ 上.文=上.文+"" ""+b.文; return; }"
"引擎-断句规矩.js","119","合并","return 默认接上(切块(s,分隔||""空格"").map(function(x){ return {文:x,是:猜身份(x)}; }));"
"引擎-断句规矩.js","164","合并","if(规矩.合连点) 带=合块(默认接上(带));"
"引擎-断句规矩.js","193","丢掉","if(出) return;"
"引擎-断句规矩.js","194","丢掉","if(字(r.客户)!==字(客户)) return;"
"引擎-点位册.js","109","默认值","有.n=(有.n||0)+1;"
"引擎-点位册.js","134","丢掉","var c=字(g.code); if(!c) return;"
"引擎-认表.js","85","丢掉","说.splice(说.length===1?1:说.length,0,""第""+(x.i+1)+""行｜""+r.join(""｜"")+(x.补?""　←（中间挑的最长一行）"":""""));"
"引擎-认表.js","203","默认值","var 头行=(+读法.表头在第几行||1)-1;"
"引擎-认表.js","213","丢掉","if(!t) continue;"
"引擎-认表.js","310","丢掉","if(!/^\s*\|/.test(ls[i])) continue;"
"引擎-认表.js","348","丢掉","var x=字(r[z]); if(!x) continue;"
"引擎-认表.js","394","丢掉","if(!v) continue;"
"引擎-认表.js","409","丢掉","if(!表们||!表们.length) return;"
"引擎-认表.js","412","丢掉","if(!g||!g.length) return;"
"引擎-认表.js","431","丢掉","if(!词.length&&宽<4) return;"
"引擎-认表.js","474","丢掉","if(已占[c]) continue;"
"引擎-认表.js","478","丢掉","if(!v) continue;"
"引擎-认表.js","483","丢掉","if(有内容<2||切得出<2) continue;"
"引擎-认表.js","484","丢掉","if(切得出*2<有内容) continue;                 /* 过半才算 */"
"引擎-认表.js","523","丢掉","if(占[c]) continue;"
"引擎-认表.js","524","丢掉","if(排除&&排除(c)) continue;"
"引擎-认表.js","528","丢掉","if(!v) continue;"
"引擎-认表.js","531","丢掉","if(有<2||合*5<有*4) continue;           /* 八成以上才算 */"
"引擎-认表.js","543","丢掉","var v=格(rows[r],c); if(!v) continue;"
"引擎-认表.js","560","丢掉","if(占[c1]) continue;"
"引擎-认表.js","563","丢掉","var v1=格(rows[r1],c1); if(!v1) continue;"
"引擎-认表.js","628","丢掉","var r=rows[i]; if(!r) continue;"
"引擎-认表.js","641","丢掉","if(!整行||!/[0-9]/.test(整行)) continue;"
"引擎-认表.js","657","丢掉","continue;"
"引擎-认表.js","661","丢掉","continue;"
"引擎-认表.js","663","丢掉","if(/^(总计|合计|小计|共计)$/.test(名)) continue;"
"引擎-认表.js","670","丢掉","if(列名词.test(字(名))||像表头(r)) continue;"
"引擎-认表.js","728","丢掉","continue;"
"引擎-认表.js","764","丢掉","continue;                       /* 这一行已经按段摊完了，别再走下面那条 */"
"引擎-认表.js","802","默认值",": 读法.门店到第几列) || 0; }"
"引擎-认表.js","838","默认值","var 头行=(+读法.表头在第几行||1)-1;"
"引擎-认表.js","846","丢掉","var r=rows[i]; if(!r) continue;"
"引擎-认表.js","847","丢掉","var 名=格(r,读法.商品列); if(!名) continue;"
"引擎-认表.js","849","丢掉","if(/^(总计|合计|小计|共计)$/.test(名)) continue;"
"引擎-认表.js","853","丢掉","if(读法.合计列&&c===+读法.合计列) continue;   /* 校验码那一列不是门店 */"
"引擎-认表.js","866","丢掉","continue;"
"引擎-认表.js","868","丢掉","if(/^(总计|合计|小计|共计)$/.test(店)) continue;"
"引擎-认表.js","879","丢掉","if(q===null||q===0) continue;                 /* 空格子 / 0 = 这个点今天不要 */"
"引擎-认表.js","884","丢掉","if(!分布.length) continue;"
"配送开单台.html","827","丢掉","""\n""+String(ev.filename||"""").split(/[\\/]/).pop()+"" 第 ""+ev.lineno+"" 行"");"
"配送开单台.html","951","默认值","function usedN(cid,sku){ var u=(window.GM_USED&&window.GM_USED[cid])||{}; return u[sku]||0"
"配送开单台.html","983","丢掉","var q=keyParts(k); if(!q.text) return;"
"配送开单台.html","985","丢掉","if(!ba||ba===q.text) return;"
"配送开单台.html","987","丢掉","if(OV.maps[bk]!==undefined) return;"
"配送开单台.html","997","丢掉","if(!ba||ba===w||OV.gmap[ba]!==undefined) return;"
"配送开单台.html","1080","丢掉","while(ks.length>800){ delete OV.gone[ks.shift()]; }"
"配送开单台.html","1096","丢掉","var i=g.indexOf(""|""); if(i<0||g.slice(0,i)!==f) return;"
"配送开单台.html","1098","丢掉","if(OV.dirty[f+""|""+k]) return;                /* 忘掉之后又重教了 → 听重教的 */"
"配送开单台.html","1116","丢掉","if(!a||!a.sku||有[a.sku]) return;"
"配送开单台.html","1131","丢掉","if(g.slice(0,3)!==""px|"") return;"
"配送开单台.html","1132","丢掉","var rest=g.slice(3), j=rest.indexOf(""|""); if(j<0) return;"
"配送开单台.html","1134","丢掉","if(OV.dirty[""px|""+cid+""|""+sku]) return;      /* 还原之后又改了 → 听后改的 */"
"配送开单台.html","1162","丢掉","if(!a[k]){ a[k]=b[k]; 变++; return; }"
"配送开单台.html","1163","默认值","if((b[k].n||0)>(a[k].n||0)){ a[k]=b[k]; 变++; }"
"配送开单台.html","1189","丢掉","if(!a){ OV.读法本[fp]=b; 变++; return; }"
"配送开单台.html","1250","丢掉","var ci=custIndexById(cid); if(ci<0) return;"
"配送开单台.html","1252","丢掉","if(!a||!a.sku) return;"
"配送开单台.html","1253","丢掉","for(var k=0;k<DATA.items.length;k++){ if(DATA.items[k][0]===ci&&DATA.items[k][6]===a.sku) "
"配送开单台.html","1256","默认值","DATA.items.push([ci,pi,a.alias||a.prod,a.unit||""斤"",+a.price||0,a.spec||"""",a.sku,"""",1]);"
"配送开单台.html","1265","丢掉","var c=DATA.custs[it[0]]; if(!c) return;"
"配送开单台.html","1266","丢掉","var x=OV.px[c[0]]&&OV.px[c[0]][it[6]]; if(!x) return;"
"配送开单台.html","1342","丢掉","a.splice(i,1); ovSave(); return true;"
"配送开单台.html","1354","默认值","return (g&&g.店&&g.店.length)||0;"
"配送开单台.html","1366","丢掉","var sel=$(""shop-select""); if(!sel) return;"
"配送开单台.html","1390","丢掉","var sel=$(""shop-select""), msg=$(""shop-msg""); if(!sel) return;"
"配送开单台.html","1438","丢掉","var b=document.getElementById(""who-btn""); if(!b) return;"
"配送开单台.html","1488","丢掉","if(new RegExp(""^\\d+(\\.\\d+)?\\s*""+U1+""?$"").test(code)) continue;   // (7盒) 这种不是点位"
"配送开单台.html","1489","丢掉","if(/装$/.test(code)) continue;                                        // (5斤装)"
"配送开单台.html","1543","丢掉","if(!s.trim()) return;"
"配送开单台.html","1546","丢掉","if(hm){ hmap=hm; return; }"
"配送开单台.html","1558","丢掉","return;"
"配送开单台.html","1570","丢掉","cur=null; return;"
"配送开单台.html","1578","丢掉","cur=null; return;"
"配送开单台.html","1582","丢掉","if(isHeaderLine(s)) return;"
"配送开单台.html","1588","丢掉","cur=null; return;"
"配送开单台.html","1600","丢掉","if(!L.text) return;"
"配送开单台.html","1666","丢掉","var b=IDX.byCust[ci]; if(!b||b.sku[sku]===undefined) return;"
"配送开单台.html","1667","丢掉","var n=norm(text); if(!n) return;"
"配送开单台.html","1689","丢掉","if(!w) return;"
"配送开单台.html","1750","丢掉","if(k===undefined) return;                       /* 不在这家价格表里 —— 不许瞎钉 */"
"配送开单台.html","1752","丢掉","if(!x) return;"
"配送开单台.html","1753","丢掉","if(x.i===k&&window.GM_MATCH.commits(x.how)) return;   /* 本来就对，别动 */"
"配送开单台.html","1790","丢掉","if(!r.list.length){ ul.innerHTML='<div class=""cb-none"">没有匹配的商品，换个词试试</div>'; return; }"
"配送开单台.html","1801","丢掉","if(!sku) return;"
"配送开单台.html","1810","丢掉","renderMatch(); return;"
"配送开单台.html","1829","丢掉","renderMatch(); return;"
"配送开单台.html","1875","丢掉","var ops=ul.querySelectorAll("".cb-op""); if(!ops.length) return;"
"配送开单台.html","1940","丢掉","if(L.i<0){ al.none.push(L.text); rows.push({L:L,it:null,segs:L.segs||[],qty:L.qty,price:nu"
"配送开单台.html","1963","默认值","rows.push({L:L,it:it,qty:Math.round((g.qty||0)*1000)/1000,price:p,"
"配送开单台.html","1976","合并","rows.forEach(function(r){ q+=r.qty; if(r.price!==null) a+=r.price*r.qty; });"
"配送开单台.html","1982","丢掉","if(ST.ci<0){ $(""cust-kv"").innerHTML='<span class=""muted"">还没选客户</span>'; return; }"
"配送开单台.html","1998","丢掉","if(!has){ $(""match-count"").textContent=""""; $(""card-out"").hidden=true; return; }"
"配送开单台.html","2032","丢掉","if(!(r.segs||[]).some(function(g){ return g.没看清; })) return;"
"配送开单台.html","2066","丢掉","if(!L||!L.总数||!(L.总数.qty>0)) return;"
"配送开单台.html","2067","默认值","var 和=Math.round((L.qty||0)*1000)/1000, 总=Math.round(L.总数.qty*1000)/1000;"
"配送开单台.html","2068","丢掉","if(Math.abs(和-总)<0.001) return;"
"配送开单台.html","2125","丢掉","if(已处理[""备岔文|""+z.备注]) return;"
"配送开单台.html","2262","丢掉","if(isNaN(v)||v<0) return;"
"配送开单台.html","2267","丢掉","if(!L||!L.总数) return;"
"配送开单台.html","2268","丢掉","if(Math.abs((L.总数.qty||0)-v)<0.0001) return;      /* 没改动就别重画 */"
"配送开单台.html","2291","丢掉","if(!L) return;"
"配送开单台.html","2342","默认值","本行对不上=Math.abs(Math.round((r.L.qty||0)*1000)/1000"
"配送开单台.html","2499","丢掉","var v=inp.value.trim(); if(!v) return;"
"配送开单台.html","2500","丢掉","if(!needWho()){ inp.value=""""; return; }"
"配送开单台.html","2502","丢掉","if(!ok){ inp.value=""""; inp.placeholder=""填个数字""; return; }"
"配送开单台.html","2540","丢掉","var row=R.rows[ri]; if(!row) return;"
"配送开单台.html","2548","丢掉","if(li>=0) ST.lines.splice(li,1);"
"配送开单台.html","2550","默认值","L.qty=Math.round(L.segs.reduce(function(a,g){return a+(g.qty||0);},0)*1000)/1000;"
"配送开单台.html","2559","丢掉","if(!box) return;"
"配送开单台.html","2570","丢掉","if(!name){ msg.textContent=""商品名不能空""; return; }"
"配送开单台.html","2571","丢掉","if(!(parseFloat(String(price).replace(/[^\d.]/g,""""))>=0)){ msg.textContent=""单价要填个数字""; retu"
"配送开单台.html","2572","丢掉","if(!needWho()) return;"
"配送开单台.html","2578","丢掉","if(!sku){ msg.textContent=""没加成，检查商品名和单价""; return; }"
"配送开单台.html","2605","丢掉","if(raw===""""||raw==="".""||raw===""-"") return;        /* 还在打，等他打完 */"
"配送开单台.html","2607","丢掉","if(isNaN(v)||v<0) return;"
"配送开单台.html","2608","丢掉","var row=R.rows[ri]; if(!row) return;"
"配送开单台.html","2609","丢掉","var segs=row.segs||[]; if(!segs.length) return;"
"配送开单台.html","2610","默认值","var old=segs.reduce(function(a,g){return a+(g.qty||0);},0);"
"配送开单台.html","2616","默认值","L.qty=Math.round(L.segs.reduce(function(a,g){return a+(g.qty||0);},0)*1000)/1000;"
"配送开单台.html","2623","丢掉","if(重画){ renderMatch(); return; }"
"配送开单台.html","2649","丢掉","var row=R.rows[ri]; if(!row||!row.L) return;"
"配送开单台.html","2652","丢掉","if(v===原) return;                       /* 没改，别白跑一趟 */"
"配送开单台.html","2723","默认值","g.qty=Math.round((g.qty+(+r.qty||0))*1000)/1000;"
"配送开单台.html","2844","丢掉","var t=$(""raw""); if(!t) return;"
"配送开单台.html","2880","丢掉","if(!话们||!话们.length) return;"
"配送开单台.html","2881","丢掉","var box=$(""order-note""); if(!box) return;"
"配送开单台.html","2882","丢掉","if(String(box.value||"""").trim()) return;"
"配送开单台.html","2929","丢掉","if(冻数&&!confirm(""整张重新识别？原单那 ""+冻数+"" 行可能会变。"")) return;"
"配送开单台.html","2950","丢掉","if(!L||L.手改||L.冻) return;   /* 冻住的行存的就是换算后的数，别再换一次 */"
"配送开单台.html","2956","默认值","L.qty=Math.round((L.segs||[]).reduce(function(a,g){return a+(g.qty||0);},0)*1000)/1000;"
"配送开单台.html","2957","丢掉","if(!(L.i>=0)) return;"
"配送开单台.html","2958","换算","var c=window.GM_MATCH.换算比(DATA,L.i,u0);"
"配送开单台.html","2988","丢掉","if(g.没看清) return;                 /* 本来就要人填的，别改它的话 */"
"配送开单台.html","2989","默认值","var 原=(g.qty0===undefined?g.qty:g.qty0)||0;"
"配送开单台.html","2997","丢掉","return;"
"配送开单台.html","2999","默认值","(L.segs||[]).forEach(function(g){ g.qty=Math.round((g.qty0||0)*c.mul*1000)/1000; });"
"配送开单台.html","3000","默认值","L.qty=Math.round((L.segs||[]).reduce(function(a,g){return a+(g.qty||0);},0)*1000)/1000;"
"配送开单台.html","3002","默认值","L.换={from:u0,to:L.unit,原:(L.segs||[]).reduce(function(a,g){return a+(g.qty0||0);},0),memo:"
"配送开单台.html","3049","丢掉","var bar=$(""mode-bar""); if(!bar) return;"
"配送开单台.html","3051","丢掉","bar.hidden=!有; if(!有) return;"
"配送开单台.html","3068","丢掉","if(L.manual||L.pinned||L.冻) return;"
"配送开单台.html","3113","丢掉","if(q && norm(c[1]).indexOf(q)<0 && norm(c[0]).indexOf(q)<0) return;"
"配送开单台.html","3114","丢掉","if(CL.f===1 && !(s.ed||s.add)) return;"
"配送开单台.html","3115","丢掉","if(CL.f===2 && !s.zero) return;"
"配送开单台.html","3117","丢掉","if(shown++>=400) return;"
"配送开单台.html","3143","丢掉","var cid=CL.cid, ci=custIndexById(cid); if(ci<0) return;"
"配送开单台.html","3196","丢掉","if(idx<0) return;"
"配送开单台.html","3212","丢掉","if(!(OV.px[cid]&&OV.px[cid][sku])) return;"
"配送开单台.html","3224","丢掉","if(!sel||!tb) return;"
"配送开单台.html","3241","默认值","'<td class=""num"">'+(z.n||1)+'</td>'+"
"配送开单台.html","3251","丢掉","var bk=OV.spotbook[cid]; if(!bk) return;"
"配送开单台.html","3275","丢掉","b.addEventListener(""click"",function(){ OV.spots.splice(parseInt(b.getAttribute(""data-del"")"
"配送开单台.html","3296","丢掉","var q=keyParts(k); if(q.cid!==cid||!q.text) return;"
"配送开单台.html","3300","丢掉","if(grp[g]){ grp[g].keys.push(k); if(q.unit) grp[g].us[q.unit]=1; return; }"
"配送开单台.html","3308","丢掉","if(mine[w]) return;"
"配送开单台.html","3345","丢掉","if(filter&&(c[1]+c[0]).toLowerCase().indexOf(filter.toLowerCase())<0) return;"
"配送开单台.html","3355","丢掉","var s=$(""map-sku""); if(!s) return;"
"配送开单台.html","3405","丢掉","if(ST.ci<0||!ST.lines.length){ 提醒(""还没有单子""); return; }"
"配送开单台.html","3406","丢掉","if(!ST.custOK){ 提醒(""先确认是哪家客户""); return; }"
"配送开单台.html","3410","丢掉","return;"
"配送开单台.html","3413","丢掉","if(!E){ 提醒(""导出模块没加载（导出-观麦.js）"",""红""); return; }"
"配送开单台.html","3441","丢掉","return;"
"配送开单台.html","3446","丢掉","return;"
"配送开单台.html","3484","丢掉","if(ST.ci<0||!ST.lines.length){ 提醒(""还没有单子""); return; }"
"配送开单台.html","3593","丢掉","if(ST.ci<0||!ST.lines.length){ 提醒(""还没有单子""); return; }"
"配送开单台.html","3659","丢掉","while(a.length>500) a.shift();      /* 只留最近 500 张，别把浏览器存储撑爆 */"
"配送开单台.html","3737","丢掉","if(ST.ci<0||!ST.lines.length){ 提醒(""还没有单子""); return; }"
"配送开单台.html","3760","丢掉","var bar=$(""deposit-bar""); if(!bar) return;"
"配送开单台.html","3761","丢掉","if(ST.ci<0||!R.rows.length){ bar.hidden=true; bar.innerHTML=""""; return; }"
"配送开单台.html","3766","丢掉","if(!Object.keys(有).length){ bar.hidden=true; bar.innerHTML=""""; return; }"
